; ;Nuovo ID;hallow_back;rilegatura_moderna;Colonna1;Collocazione;roman_converted;disambiguatore;numero_del_codice;numerazione_araba;numerazione_romana_alternativa;ulteriore_numerazione_arabaoromana;identificativo_parte;Spagnolo;note;titolo;materiale;datazione_i;datazione_f;lingua;fogli;altezza;ampiezza;rilegatura;tipo_rilegatura;materiale_rilegatura;preferred_manifest_url;color;color_rileg;is_digitized;marker_dim;alpha
0;1;m0001_0;0.0;0.0;0;[I 1 3];1;_0;I;1;0;0;0;49-50;0;Psalterium com Canticis graeco-latinum;membranaceo;400.0;600.0;greco latino;405.0;270.0;200.0;rilegato;legno coperto di broccato antico;0;/;blue;#2B9332;Non digitalizzato;6.26974711353724;0.5
1;2;m0001_1;0.0;0.0;0;[I 1 1];1;_1;I;1;0;0;appendice;50-51;17 Pergamene di 11 frammenti stralciate da alcuni codici;Vetera paralipomena mss. codd. capit. Veron.;membranaceo;400.0;1000.0;latino;17.0;270.0;190.0;fogli sciolti;0;0;/;blue;#FF5733;Non digitalizzato;3.1413646324265914;0.15
2;3;m0002_0;0.0;0.0;0;[I 1 4];2;_0;II;2;0;0;0;51-52;Mancano 2 carte (tra 249 e 250 e dopo 250);Libri Regum ex versione hieronymiana et itala;membranaceo;500.0;700.0;0;256.0;282.0;240.0;rilegato;cartoncino coperto di seta e oro;0;/;blue;#2B9332;Non digitalizzato;5.812138499293826;0.5
3;4;m0003_0;0.0;0.0;0;[I 1 5];3;_0;III;3;0;0;0;52;0;Ex libro I Regum;membranaceo;600.0;800.0;0;9.0;250.0;163.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;2.5430772826428685;0.5
4;5;m0004_0;0.0;0.0;0;[I 1 6];4;_0;IV;4;0;0;f1;52;legati tra loro ;Ex libr. Levitici Deuteron. Sapientis et Danielis: Levitici Deuteronomii;membranaceo;500.0;600.0;0;2.0;335.0;290.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;1.282090583589888;0.5
5;6;m0004_1;0.0;0.0;0;[I 1 6];4;_1;IV;4;0;0;f2;52;legati tra loro;Ex libr. Levitici Deuteron. Sapientis et Danielis: Sapientiae;membranaceo;400.0;600.0;0;3.0;285.0;170.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;1.5905099025485816;0.5
6;7;m0004_2;0.0;0.0;0;[I 1 6];4;_2;IV;4;0;0;f3;52;legati tra loro;Ex libr. Levitici Deuteron. Sapientis et Danielis;membranaceo;600.0;800.0;0;1.0;320.0;245.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;0.8338145100499165;0.5
7;8;m0004_3;0.0;0.0;0;[I 1 6];4;_3;IV;4;0;0;f4;52;legati tra loro;Ex libr. Levitici Deuteron. Sapientis et Danielis: Danielis;membranaceo;0.0;0.0;0;1.0;0.0;0.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;0.8338145100499165;0.5
8;9;m0005_0;0.0;0.0;0;[I 1 7];5;_0;V;5;0;0;0;53-54;Precedente scrittura alle cc. 85-100, 103-106, 110-112;Prophetiae Isaiae, Ieremiae, Baruch, Ezech., Oseae, Amos, Ioel et aliorum accedunt Tractatus sacri varii;membranaceo;1300.0;1400.0;0;114.0;200.0;153.0;rilegato;pelle;0;/;blue;#2B9332;Non digitalizzato;5.006878245218544;0.5
9;10;m0006_0;0.0;0.0;0;[I 1 8];6;_0;VI;6;0;30;0;54-55;0;Evangelia;membranaceo;400.0;600.0;0;389.0;285.0;225.0;rilegato;cartoncino coperta di velluto;0;/;blue;#2B9332;Non digitalizzato;6.229517236156858;0.5
10;11;m0007_0;0.0;0.0;0;[I 1 9];7;_0;VII;7;0;0;0;56;0;Evangelium secund. Matthaeum;membranaceo;700.0;800.0;0;25.0;215.0;145.0;rilegato;0;0;/;blue;#2B9332;Non digitalizzato;3.5130989578633627;0.5
11;12;m0008_0;0.0;0.0;0;[I 1 10];8;_0;VIII;7;0;2;0;56-57;0;Evangelia per annum;membranaceo;700.0;1000.0;0;101.0;300.0;185.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.886661258688375;0.5
12;13;m0009_0;0.0;0.0;0;[I 1 11];9;_0;IX;7;0;3;0;57;0;Evangelia per annum;membranaceo;1100.0;1300.0;0;136.0;235.0;140.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.182251605531147;0.5
13;14;m0010_0;0.0;0.0;0;[I 1 12];10;_0;X;8;0;0;0;58-59;0;SS. Patrum Opuscola;membranaceo;600.0;800.0;0;158.0;186.0;121.0;rilegato;0;0;/;blue;#2B9332;Non digitalizzato;5.331409563006351;0.5
14;15;m0011_0;0.0;0.0;0;[I 1 13];11;_0;XI;9;0;0;0;60;0;Epistolae canonicae Apocalpypsis pars et liber Proverbiorum;membranaceo;700.0;1500.0;0;227.0;150.0;120.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.692293112880049;0.5
15;16;m0012_0;0.0;0.0;0;[I 1 14];12;_0;XII;10;0;0;0;61-63;0;Vetus et Novum testamentum cum Praefationibus Hieronymi et Rabani ac cum Dictionario alphabetico et alia pauca;membranaceo;1200.0;1400.0;0;358.0;234.0;170.0;rilegato;assi coperte in pelle;0;/;blue;#2B9332;Non digitalizzato;6.14664148586564;0.5
16;17;m0013_0;0.0;0.0;0;[I 1 15];13;_0;XIII;11;0;0;0;63-64;cc. VII-559;Sancti Hilarii Tractatus super Psalmos;membranaceo;400.0;600.0;0;566.0;272.0;182.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;6.603915594753053;0.5
17;18;m0014_0;0.0;0.0;0;[I 1 16];14;_0;XIV;12;0;0;0;64;0;S. Ilarii episcopi De Trinitate libri XII;membranaceo;475.0;600.0;0;504.0;313.0;278.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;6.488064463609991;0.5
18;19;m0015_0;0.0;0.0;0;n.d.;15;_0;XV;13;0;0;0;64-67;0;Gaius et Hieronimus;membranaceo;650.0;750.0;greco;137.0;233.0;195.0;fogli sciolti;0;0;/;blue;#FF5733;Non digitalizzato;5.189536656837063;0.15
19;20;m0016_0;0.0;0.0;0;[II 1 1];16;_0;XVI;14;0;0;0;67-70;forse 4 carte aggiuntive;S. Hieronimi Epistolae et alia quaedam;membranaceo;800.0;900.0;0;330.0;348.0;250.0;rilegato;pelle;0;/;blue;#2B9332;Non digitalizzato;6.065382769117427;0.5
20;21;m0017_0;0.0;0.0;0;[II 1 2];17;_0;XVII;15;0;0;0;70;0;D. Hieronimi Opera varia;membranaceo;500.0;700.0;greco latino;299.0;348.0;250.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;5.9669743879808586;0.5
21;22;m0018_0;0.0;0.0;0;[II 1 3];18;_0;XVIII;16;0;0;0;71-72;0;D. Hieronimi et aliorum Patrum Opuscola;membranaceo;1075.0;1100.0;0;170.0;348.0;260.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.404271456006074;0.5
22;23;m0019_0;0.0;0.0;0;[II 1 4];19;_0;XIX;17;0;0;0;73;0;S. Hieronimi Explanat. in prophet. minores, Ratherii Veron. Epist. duae;membranaceo;800.0;1000.0;greco latino;94.0;253.0;170.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.815397345369075;0.5
23;24;m0020_0;0.0;0.0;0;[II 1 5];20;_0;XX;18;0;0;0;73-74;0;S. Hieronimi Opera varia;membranaceo;900.0;1000.0;0;121.0;325.0;220.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.0660831408118305;0.5
24;25;m0021_0;0.0;0.0;0;[II 1 6];21;_0;XXI;19;0;0;0;74-75;0;Ve. Bedae et Di. Hieronimi Opera varia;membranaceo;900.0;930.0;0;124.0;320.0;240.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.0904215586346515;0.5
25;26;m0022_0;0.0;0.0;0;[II 1 7];22;_0;XXII;20;0;0;0;75-76;0;D. Hieronimi et Gennadii De viris illustribus et alia plura;membranaceo;525.0;580.0;0;175.0;220.0;195.0;rilegato;assi ricoperte di pelle;0;/;blue;#2B9332;Non digitalizzato;5.433130489488534;0.5
26;27;m0023_0;0.0;0.0;0;[II 1 8];23;_0;XXIII;21;0;0;0;77;0;D. Hieronimo olim attributae Questiones in libr. Regum et Paralipom., Epistola Caroli regis;membranaceo;800.0;1000.0;0;116.0;217.0;155.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.024154606088502;0.5
27;28;m0024_0;0.0;0.0;0;[II 1 9];24;_0;XXIV;22;0;0;0;77-78;0;S. Hieronymi Opuscola;membranaceo;1400.0;1500.0;0;71.0;197.0;114.0;rilegato;0;0;/;blue;#2B9332;Non digitalizzato;4.537404240091448;0.5
28;29;m0025_0;0.0;0.0;0;[II 1 10];25;_0;XXV;23;0;0;0;78;0;Eusebii De morte et miraculis Hieronymi, S. Augustini quaedam;cartaceo;1400.0;1500.0;0;199.0;210.0;150.0;rilegato;assi coperte in pelle;0;/;orange;#2B9332;Non digitalizzato;5.56112223906175;0.5
29;30;m0026_0;0.0;0.0;0;[II 1 11];26;_0;XXVI;24;0;0;0;79;0;Eusebii Chronicon cum Math. Palmerii continuatione;cartaceo;1400.0;1500.0;0;116.0;282.0;212.0;rilegato;mezza pelle e cartoncino;0;/;orange;#2B9332;Non digitalizzato;5.024154606088502;0.5
30;31;m0027_0;0.0;0.0;0;[II 1 12];27;_0;XXVII;25;0;0;0;79-80;1 disegno c. 98v;S. Ambrosii in Exameron et alia plura;membranaceo;900.0;1100.0;0;138.0;345.0;260.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;5.196769019776565;0.5
31;32;m0028_0;0.0;0.0;0;[II 1 13];28;_0;XXVIII;26;0;0;0;80-81;rifatta la scrittura su parecchie pagine (= palinsesto?);B. Augustini De civitate Dei;membranaceo;400.0;700.0;0;253.0;290.0;190.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.800386009635217;0.5
32;33;m0029_0;0.0;0.0;0;[II 1 14];29;_0;XXIX;27;0;0;0;81-82;0;S. Augustini De civitate Dei;membranaceo;875.0;900.0;0;116.0;360.0;256.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.024154606088502;0.5
33;34;m0030_0;0.0;0.0;0;[II 1 15];30;_0;XXX;28;0;0;0;82;0;S. Augustini in Psalmos;membranaceo;800.0;900.0;0;95.0;298.0;210.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.825894145783534;0.5
34;35;m0031_0;0.0;0.0;0;[II 1 16];31;_0;XXXI;29;0;0;0;83;0;S. Augustini in Psalmos;membranaceo;800.0;900.0;0;161.0;290.0;210.0;rilegato;0;0;/;blue;#2B9332;Non digitalizzato;5.350128755867893;0.5
35;36;m0032_0;0.0;1.0;0;[III 1 1];32;_0;XXXII;30;0;0;0;83-84;0;S. Augustini Enchiridion, libri 2 De sermone in Monte Domini, Cassiani Li. V De spiritu Castrimargiae et Hymni duo;membranaceo;900.0;1000.0;0;187.0;300.0;204.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.499172704053706;0.5
36;37;m0033_0;0.0;0.0;0;[III 1 2];33;_0;XXXIII;31;0;0;0;84;0;S. Augustini De agone christiano, De fide et symbolo, Epistola ad Hieronymum;membranaceo;700.0;900.0;0;70.0;220.0;164.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.523372466960436;0.5
37;38;m0034_0;0.0;0.0;0;[III 1 3];34;_0;XXXIV;32;0;0;0;85;0;S. Augustini De doctrina christiana libri IV;membranaceo;1200.0;1300.0;0;99.0;250.0;160.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.8668130364529105;0.5
38;39;m0035_0;0.0;0.0;0;[III 1 4];35;_0;XXXV;33;0;0;0;85;0;S. Augustini liber qui vocatur Quinquaginta;membranaceo;1100.0;1200.0;0;212.0;240.0;160.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.6241679160545095;0.5
39;40;m0036_0;0.0;1.0;0;[III 1 5];36;_0;XXXVI;34;0;0;0;86;al f. 6 bellissima iniziale a disegno e colori;S. Augustini Explanatio in Evangelium Iohannis;membranaceo;875.0;900.0;0;316.0;386.0;280.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;6.022135190571862;0.5
